VIV_accession,1_Chordata,2_Mammalia,3_Primates,4_Hominidae,5_Homo,6_Homo sapiens
VIV_1073959,1,1,0,0,0,0
VIV_1073961,1,1,0,0,0,0
VIV_1074206,1,1,0,0,0,0
VIV_1074210,1,1,0,0,0,0
VIV_1074213,1,1,0,0,0,0
VIV_1074214,1,1,0,0,0,0
VIV_1074428,1,1,0,0,0,0
VIV_1074863,1,1,0,0,0,0
VIV_1074864,1,1,0,0,0,0
VIV_1074865,1,1,0,0,0,0
VIV_1076255,1,1,0,0,0,0
VIV_10784,1,1,0,0,0,0
VIV_10788,1,1,1,0,0,0
VIV_10794,1,1,0,0,0,0
VIV_10796,1,1,0,0,0,0
VIV_10798,1,1,1,1,1,1
VIV_10799,1,1,0,0,0,0
VIV_10804,1,1,1,1,1,1
VIV_108098,1,1,1,1,1,1
VIV_1081054,1,0,0,0,0,0
VIV_1081055,1,1,0,0,0,0
VIV_1084715,1,1,0,0,0,0
VIV_1084717,1,1,0,0,0,0
VIV_1087108,1,1,0,0,0,0
VIV_1087109,1,1,0,0,0,0
VIV_1088890,1,0,0,0,0,0
VIV_1089138,1,0,0,0,0,0
VIV_109270,1,1,0,0,0,0
VIV_1093101,1,1,0,0,0,0
VIV_1093928,1,1,0,0,0,0
VIV_10942,1,1,1,1,1,1
VIV_1096142,1,1,0,0,0,0
VIV_10986,0,0,0,0,0,0
VIV_10991,0,0,0,0,0,0
VIV_10995,1,0,0,0,0,0
VIV_109981,0,0,0,0,0,0
VIV_1100043,0,0,0,0,0,0
VIV_11002,1,1,0,0,0,0
VIV_11020,1,1,1,1,1,1
VIV_11021,1,1,1,1,1,1
VIV_11023,1,1,1,1,1,1
VIV_11024,1,1,1,1,1,1
VIV_11029,1,1,1,1,1,1
VIV_11033,1,1,1,1,1,1
VIV_11034,1,1,1,1,1,1
VIV_11036,1,1,1,1,1,1
VIV_11039,1,1,1,1,1,1
VIV_11041,1,1,1,1,1,1
VIV_11047,1,1,0,0,0,0
VIV_11048,1,1,0,0,0,0
VIV_11049,1,1,1,0,0,0
VIV_1104917,1,1,0,0,0,0
VIV_11053,1,1,1,1,1,1
VIV_1105378,1,1,0,0,0,0
VIV_1105379,1,1,0,0,0,0
VIV_1105380,1,1,0,0,0,0
VIV_1105381,1,1,0,0,0,0
VIV_1105383,1,1,0,0,0,0
VIV_1105385,1,1,0,0,0,0
VIV_1105386,1,1,0,0,0,0
VIV_11060,1,1,1,1,1,1
VIV_11069,1,1,1,1,1,1
VIV_11070,1,1,1,1,1,1
VIV_11072,1,1,1,1,1,1
VIV_11079,1,1,1,1,1,1
VIV_11080,1,1,1,1,1,1
VIV_11082,1,1,1,1,1,1
VIV_11083,1,1,1,1,1,1
VIV_11084,1,1,1,1,1,1
VIV_11085,1,1,1,1,1,1
VIV_11086,1,1,1,1,1,1
VIV_1108810,1,1,0,0,0,0
VIV_11089,1,1,1,1,1,1
VIV_11096,1,1,0,0,0,0
VIV_11099,1,1,1,1,1,1
VIV_111167,1,1,0,0,0,0
VIV_1111710,0,0,0,0,0,0
VIV_11120,1,1,1,1,1,1
VIV_1112597,1,1,0,0,0,0
VIV_11128,1,1,1,1,1,1
VIV_11135,1,1,1,1,1,1
VIV_11137,1,1,1,1,1,1
VIV_11138,1,1,1,0,0,0
VIV_111469,1,1,1,0,0,0
VIV_11149,1,1,1,1,1,1
VIV_1114942,1,1,0,0,0,0
VIV_11152,1,1,1,1,1,1
VIV_1117633,1,1,0,0,0,0
VIV_1118369,1,1,0,0,0,0
VIV_111874,0,0,0,0,0,0
VIV_11191,1,1,1,0,0,0
VIV_11215,1,1,0,0,0,0
VIV_11216,1,1,1,1,1,1
VIV_11224,1,1,1,1,1,1
VIV_11232,1,1,1,1,1,1
VIV_11234,1,1,1,1,1,1
VIV_1123958,1,1,1,1,1,1
VIV_11240,1,1,0,0,0,0
VIV_11242,1,1,0,0,0,0
VIV_11246,1,1,0,0,0,0
VIV_11247,1,1,0,0,0,0
VIV_11250,1,1,1,1,1,1
VIV_1125677,0,0,0,0,0,0
VIV_1126383,1,1,0,0,0,0
VIV_1126411,1,0,0,0,0,0
VIV_11269,1,1,1,1,1,1
VIV_11272,1,1,1,1,1,1
VIV_11274,1,1,1,1,1,1
VIV_1127491,1,1,0,0,0,0
VIV_11277,1,1,1,1,1,1
VIV_1127767,0,0,0,0,0,0
VIV_11280,1,1,1,1,1,1
VIV_1128073,1,1,0,0,0,0
VIV_1128118,1,0,0,0,0,0
VIV_1128423,1,1,0,0,0,0
VIV_1128424,0,0,0,0,0,0
VIV_11290,1,0,0,0,0,0
VIV_11292,1,1,1,1,1,1
VIV_11303,1,1,0,0,0,0
VIV_11307,0,0,0,0,0,0
VIV_1131483,1,1,0,0,0,0
VIV_1131485,1,1,0,0,0,0
VIV_1131622,1,1,0,0,0,0
VIV_1133363,1,1,0,0,0,0
VIV_113370,0,0,0,0,0,0
VIV_1134579,1,1,0,0,0,0
VIV_1136133,1,1,0,0,0,0
VIV_1137931,1,1,0,0,0,0
VIV_1138484,1,1,0,0,0,0
VIV_1138485,1,1,0,0,0,0
VIV_1138490,1,1,0,0,0,0
VIV_1141625,1,1,0,0,0,0
VIV_114429,1,1,0,0,0,0
VIV_114430,1,1,0,0,0,0
VIV_1144379,1,1,0,0,0,0
VIV_1147160,1,1,0,0,0,0
VIV_1150861,1,1,0,0,0,0
VIV_1155188,1,1,0,0,0,0
VIV_11553,1,1,1,1,1,1
VIV_1156769,1,1,0,0,0,0
VIV_11569,1,1,1,1,1,1
VIV_1157337,1,0,0,0,0,0
VIV_1157338,1,1,0,0,0,0
VIV_11575,1,1,1,1,1,1
VIV_11577,1,1,1,1,1,1
VIV_11580,1,1,1,1,1,1
VIV_1158189,1,0,0,0,0,0
VIV_1158190,1,0,0,0,0,0
VIV_11582,1,1,0,0,0,0
VIV_11587,1,1,1,1,1,1
VIV_11588,1,1,1,1,1,1
VIV_11591,1,1,1,1,1,1
VIV_1159195,1,1,0,0,0,0
VIV_11596,1,1,1,1,1,1
VIV_1159902,1,0,0,0,0,0
VIV_1159903,1,0,0,0,0,0
VIV_1159904,1,0,0,0,0,0
VIV_1159905,1,1,1,1,1,1
VIV_1159906,1,0,0,0,0,0
VIV_1159907,1,0,0,0,0,0
VIV_1159908,1,0,0,0,0,0
VIV_1160968,1,1,0,0,0,0
VIV_1161132,1,1,0,0,0,0
VIV_11620,1,1,1,1,1,1
VIV_11623,1,1,1,1,1,1
VIV_11628,1,1,1,1,1,1
VIV_11631,1,1,1,1,1,1
VIV_1163537,1,1,0,0,0,0
VIV_11636,1,0,0,0,0,0
VIV_1163701,1,1,0,0,0,0
VIV_1163703,1,1,0,0,0,0
VIV_1163708,1,1,0,0,0,0
VIV_1163709,1,1,0,0,0,0
VIV_1163715,1,1,1,1,1,1
VIV_11642,1,1,1,1,1,1
VIV_11657,1,1,0,0,0,0
VIV_1165907,1,1,0,0,0,0
VIV_11660,1,1,0,0,0,0
VIV_11663,1,1,0,0,0,0
VIV_11665,1,1,0,0,0,0
VIV_11673,1,1,0,0,0,0
VIV_11676,1,1,1,1,1,1
VIV_1167696,1,1,0,0,0,0
VIV_1168547,0,0,0,0,0,0
VIV_1170234,1,1,0,0,0,0
VIV_1170422,0,0,0,0,0,0
VIV_1170424,0,0,0,0,0,0
VIV_1170425,0,0,0,0,0,0
VIV_1170426,1,1,0,0,0,0
VIV_11709,1,1,1,1,1,1
VIV_1172195,1,0,0,0,0,0
VIV_1172196,1,0,0,0,0,0
VIV_11723,1,1,1,1,1,1
VIV_1172985,1,1,1,1,1,1
VIV_1173138,1,1,0,0,0,0
VIV_1173709,0,0,0,0,0,0
VIV_1174530,1,1,1,0,0,0
VIV_11746,1,1,0,0,0,0
VIV_11757,1,1,1,1,1,1
VIV_11764,1,1,1,1,1,1
VIV_1176484,1,1,0,0,0,0
VIV_11768,1,1,0,0,0,0
VIV_11788,1,1,0,0,0,0
VIV_11795,1,1,1,1,1,1
VIV_11801,1,1,1,1,1,1
VIV_11809,1,1,0,0,0,0
VIV_1181310,1,1,0,0,0,0
VIV_118140,1,1,0,0,0,0
VIV_11819,1,1,0,0,0,0
VIV_11830,1,1,0,0,0,0
VIV_11834,1,1,1,1,1,1
VIV_11840,1,1,1,1,1,1
VIV_1185359,1,1,0,0,0,0
VIV_11855,1,1,1,1,1,1
VIV_11856,1,1,1,0,0,0
VIV_118655,1,1,1,1,1,1
VIV_11867,1,0,0,0,0,0
VIV_11878,1,0,0,0,0,0
VIV_1187973,1,1,0,0,0,0
VIV_11884,1,0,0,0,0,0
VIV_11885,1,0,0,0,0,0
VIV_11886,1,1,0,0,0,0
VIV_11901,1,1,1,1,1,1
VIV_11908,1,1,1,1,1,1
VIV_11909,1,1,1,1,1,1
VIV_119222,1,1,0,0,0,0
VIV_1193422,1,0,0,0,0,0
VIV_11938,1,1,1,1,1,1
VIV_11946,1,1,0,0,0,0
VIV_1194757,1,1,0,0,0,0
VIV_1195087,1,0,0,0,0,0
VIV_1195167,1,1,0,0,0,0
VIV_1195364,1,1,0,0,0,0
VIV_1195365,1,1,0,0,0,0
VIV_1195367,1,1,0,0,0,0
VIV_1195370,1,1,0,0,0,0
VIV_1195373,1,1,0,0,0,0
VIV_1195796,1,1,1,1,1,1
VIV_11958,1,0,0,0,0,0
VIV_1196647,1,1,0,0,0,0
VIV_11970,1,1,1,1,1,1
VIV_11976,1,1,0,0,0,0
VIV_11978,1,1,0,0,0,0
VIV_1203539,1,1,1,1,1,1
VIV_120499,1,1,0,0,0,0
VIV_12063,1,1,1,1,1,1
VIV_12064,1,1,1,0,0,0
VIV_120686,1,1,1,1,1,1
VIV_12072,1,1,1,1,1,1
VIV_1208310,1,1,0,0,0,0
VIV_12092,1,1,1,1,1,1
VIV_12104,1,1,1,1,1,1
VIV_12118,1,1,1,1,1,1
VIV_12131,1,1,1,1,1,1
VIV_1213198,1,1,0,0,0,0
VIV_12136,0,0,0,0,0,0
VIV_1213620,1,1,1,1,1,1
VIV_1214906,1,1,1,1,1,1
VIV_1214955,1,1,1,1,1,1
VIV_1216472,1,1,0,0,0,0
VIV_1216928,1,1,1,1,1,1
VIV_1217821,0,0,0,0,0,0
VIV_121791,1,1,1,1,1,1
VIV_1218490,1,1,0,0,0,0
VIV_1219465,1,1,0,0,0,0
VIV_1219896,1,1,0,0,0,0
VIV_1221208,0,0,0,0,0,0
VIV_1221391,1,1,0,0,0,0
VIV_1221637,1,1,0,0,0,0
VIV_122203,1,1,1,1,1,1
VIV_1223302,1,0,0,0,0,0
VIV_1223561,1,0,0,0,0,0
VIV_1223562,1,0,0,0,0,0
VIV_12239,1,1,1,1,1,1
VIV_1226723,1,1,0,0,0,0
VIV_1228012,0,0,0,0,0,0
VIV_12285,0,0,0,0,0,0
VIV_12286,0,0,0,0,0,0
VIV_12287,0,0,0,0,0,0
VIV_12288,1,1,0,0,0,0
VIV_1229186,0,0,0,0,0,0
VIV_122928,1,1,1,1,1,1
VIV_122929,1,1,1,1,1,1
VIV_1229325,1,1,0,0,0,0
VIV_1230253,1,1,0,0,0,0
VIV_1231903,0,0,0,0,0,0
VIV_1233383,1,1,1,1,1,1
VIV_1234872,0,0,0,0,0,0
VIV_1234874,0,0,0,0,0,0
VIV_1234878,0,0,0,0,0,0
VIV_1234879,0,0,0,0,0,0
VIV_1234880,0,0,0,0,0,0
VIV_1234881,0,0,0,0,0,0
VIV_1234882,1,1,0,0,0,0
VIV_1234883,0,0,0,0,0,0
VIV_1234884,0,0,0,0,0,0
VIV_1234886,0,0,0,0,0,0
VIV_1234887,0,0,0,0,0,0
VIV_1234888,0,0,0,0,0,0
VIV_1235427,1,1,0,0,0,0
VIV_1235428,1,1,0,0,0,0
VIV_1235429,1,1,0,0,0,0
VIV_1235430,1,1,0,0,0,0
VIV_1236047,0,0,0,0,0,0
VIV_123630,1,1,1,0,0,0
VIV_1236391,1,1,1,0,0,0
VIV_1236392,1,1,1,0,0,0
VIV_1236395,1,1,1,0,0,0
VIV_1236398,1,1,1,0,0,0
VIV_1236400,1,1,1,1,0,0
VIV_1236406,1,1,1,0,0,0
VIV_1236407,1,1,1,0,0,0
VIV_1236410,1,1,1,0,0,0
VIV_1236767,1,1,0,0,0,0
VIV_1237117,0,0,0,0,0,0
VIV_1238455,0,0,0,0,0,0
VIV_1239565,1,1,1,1,1,1
VIV_1239566,1,1,0,0,0,0
VIV_1239567,1,1,1,1,1,1
VIV_1239574,1,1,0,0,0,0
VIV_1239577,1,1,0,0,0,0
VIV_1239832,1,1,0,0,0,0
VIV_1241371,0,0,0,0,0,0
VIV_1241918,0,0,0,0,0,0
VIV_1241933,1,1,0,0,0,0
VIV_1241957,1,1,0,0,0,0
VIV_1242863,0,0,0,0,0,0
VIV_1244563,0,0,0,0,0,0
VIV_1244565,0,0,0,0,0,0
VIV_1245561,1,1,1,0,0,0
VIV_1245562,1,1,1,0,0,0
VIV_1246651,0,0,0,0,0,0
VIV_1246677,1,1,1,1,1,1
VIV_1247113,1,1,1,1,1,1
VIV_1247114,1,1,1,1,1,1
VIV_12475,1,1,1,1,1,1
VIV_12480,1,1,1,1,1,1
VIV_1248396,1,1,1,1,1,1
VIV_1249501,1,1,0,0,0,0
VIV_1249648,0,0,0,0,0,0
VIV_12509,1,1,1,1,1,1
VIV_12524,0,0,0,0,0,0
VIV_12538,1,1,1,1,1,1
VIV_12542,1,1,1,1,1,1
VIV_1254420,0,0,0,0,0,0
VIV_1254425,1,1,0,0,0,0
VIV_1256869,1,0,0,0,0,0
VIV_125788,0,0,0,0,0,0
VIV_126070,1,1,0,0,0,0
VIV_1261100,1,1,0,0,0,0
VIV_1261101,1,1,0,0,0,0
VIV_1261657,1,1,0,0,0,0
VIV_12618,1,1,1,1,1,1
VIV_1263720,1,1,1,1,1,1
VIV_12639,1,0,0,0,0,0
VIV_12643,1,1,1,1,1,1
VIV_1264898,1,1,0,0,0,0
VIV_12657,1,1,0,0,0,0
VIV_1267585,0,0,0,0,0,0
VIV_1268011,1,1,0,0,0,0
VIV_1268383,1,1,1,1,1,1
VIV_12721,1,1,1,1,1,1
VIV_1272942,0,0,0,0,0,0
VIV_1272943,1,1,0,0,0,0
VIV_1272945,1,1,1,1,1,1
VIV_1272946,1,1,0,0,0,0
VIV_1272947,1,0,0,0,0,0
VIV_1272948,1,0,0,0,0,0
VIV_1272949,0,0,0,0,0,0
VIV_1272952,0,0,0,0,0,0
VIV_1272953,1,1,0,0,0,0
VIV_1272955,0,0,0,0,0,0
VIV_1272957,1,0,0,0,0,0
VIV_1272958,0,0,0,0,0,0
VIV_1272959,0,0,0,0,0,0
VIV_1272960,0,0,0,0,0,0
VIV_1272961,0,0,0,0,0,0
VIV_1272962,1,1,0,0,0,0
VIV_12730,1,1,1,1,1,1
VIV_12742,0,0,0,0,0,0
VIV_1276181,1,1,0,0,0,0
VIV_1277649,1,1,1,1,1,1
VIV_1279099,1,1,0,0,0,0
VIV_1280920,1,1,1,1,1,1
VIV_12814,1,1,1,1,1,1
VIV_1281454,1,1,0,0,0,0
VIV_1282443,1,0,0,0,0,0
VIV_1282444,1,0,0,0,0,0
VIV_12851,0,0,0,0,0,0
VIV_1285600,1,0,0,0,0,0
VIV_1286143,0,0,0,0,0,0
VIV_1286213,1,1,1,0,0,0
VIV_1286214,1,1,1,0,0,0
VIV_1288358,1,0,0,0,0,0
VIV_1288359,1,0,0,0,0,0
VIV_1291515,0,0,0,0,0,0
VIV_1293536,1,0,0,0,0,0
VIV_1293539,0,0,0,0,0,0
VIV_1293540,0,0,0,0,0,0
VIV_1293572,0,0,0,0,0,0
VIV_1294177,1,1,0,0,0,0
VIV_1296573,0,0,0,0,0,0
VIV_129726,1,1,1,1,1,1
VIV_129727,1,1,1,1,1,1
VIV_1298385,1,1,1,0,0,0
VIV_129875,1,1,1,1,1,1
VIV_129951,1,1,1,1,1,1
VIV_129953,1,1,0,0,0,0
VIV_129956,1,1,0,0,0,0
VIV_1300978,1,1,0,0,0,0
VIV_1301246,1,0,0,0,0,0
VIV_1301279,0,0,0,0,0,0
VIV_1301280,0,0,0,0,0,0
VIV_1302179,0,0,0,0,0,0
VIV_1303019,1,0,0,0,0,0
VIV_130308,1,1,1,1,1,1
VIV_130309,1,1,1,1,1,1
VIV_130310,1,1,1,1,1,1
VIV_130328,1,0,0,0,0,0
VIV_1303334,1,1,1,1,1,1
VIV_130370,1,1,0,0,0,0
VIV_1303862,1,1,0,0,0,0
VIV_130499,1,1,0,0,0,0
VIV_130556,0,0,0,0,0,0
VIV_1307119,1,1,0,0,0,0
VIV_130760,1,1,1,1,1,1
VIV_1307800,1,1,1,1,1,1
VIV_1307803,1,1,0,0,0,0
VIV_1307954,0,0,0,0,0,0
VIV_1307956,0,0,0,0,0,0
VIV_1307957,0,0,0,0,0,0
VIV_1308859,0,0,0,0,0,0
VIV_1313215,1,1,1,1,1,1
VIV_1315259,1,1,1,1,1,1
VIV_1315262,1,1,1,1,1,1
VIV_1315264,1,1,1,1,1,1
VIV_1316453,1,0,0,0,0,0
VIV_1321391,1,1,0,0,0,0
VIV_132475,1,1,1,1,1,1
VIV_1325446,1,1,0,0,0,0
VIV_1328031,1,1,0,0,0,0
VIV_1328032,1,1,0,0,0,0
VIV_1329402,1,1,0,0,0,0
VIV_1329649,1,1,0,0,0,0
VIV_1329650,1,1,0,0,0,0
VIV_1330070,1,0,0,0,0,0
VIV_1330491,1,1,1,1,1,1
VIV_1330520,1,1,1,0,0,0
VIV_1330521,1,1,1,1,0,0
VIV_1330524,1,1,1,1,1,1
VIV_1332244,1,1,1,1,1,1
VIV_1332248,0,0,0,0,0,0
VIV_1335476,1,1,0,0,0,0
VIV_1335477,1,1,0,0,0,0
VIV_1335626,1,1,1,1,1,1
VIV_1336600,1,1,0,0,0,0
VIV_133704,1,1,1,1,1,1
VIV_133789,1,0,0,0,0,0
VIV_1338506,1,1,0,0,0,0
VIV_1340801,1,1,0,0,0,0
VIV_1341019,1,1,1,1,1,1
VIV_1343901,1,1,0,0,0,0
VIV_134394,0,0,0,0,0,0
VIV_1344113,1,1,0,0,0,0
VIV_1345637,1,1,1,1,1,1
VIV_1345661,0,0,0,0,0,0
VIV_1345662,0,0,0,0,0,0
VIV_134606,0,0,0,0,0,0
VIV_1346815,1,1,1,1,1,1
VIV_1346829,0,0,0,0,0,0
VIV_1348439,0,0,0,0,0,0
VIV_1348500,1,1,1,1,1,1
VIV_1349999,1,0,0,0,0,0
VIV_1350001,1,0,0,0,0,0
VIV_1352235,1,1,0,0,0,0
VIV_1353241,1,1,0,0,0,0
VIV_1353795,0,0,0,0,0,0
VIV_1354498,1,1,1,0,0,0
VIV_1354736,1,0,0,0,0,0
VIV_1357321,1,1,0,0,0,0
VIV_136187,1,1,1,1,1,1
VIV_1367203,0,0,0,0,0,0
VIV_1367204,0,0,0,0,0,0
VIV_1368616,0,0,0,0,0,0
VIV_1370094,1,1,0,0,0,0
VIV_137443,1,1,0,0,0,0
VIV_1379161,1,0,0,0,0,0
VIV_1380865,1,0,0,0,0,0
VIV_1380894,0,0,0,0,0,0
VIV_1381104,1,1,0,0,0,0
VIV_138184,1,1,0,0,0,0
VIV_1382279,1,0,0,0,0,0
VIV_1382295,0,0,0,0,0,0
VIV_1383888,1,0,0,0,0,0
VIV_1384461,1,1,0,0,0,0
VIV_1385427,1,1,0,0,0,0
VIV_1388882,1,1,1,1,1,1
VIV_1389204,1,1,0,0,0,0
VIV_138948,1,1,1,1,1,1
VIV_138949,1,1,1,1,1,1
VIV_138950,1,1,1,1,1,1
VIV_138951,1,1,1,1,1,1
VIV_1391025,1,0,0,0,0,0
VIV_1391026,1,1,0,0,0,0
VIV_1391027,1,0,0,0,0,0
VIV_1391029,1,0,0,0,0,0
VIV_1391030,1,1,0,0,0,0
VIV_1391031,1,1,0,0,0,0
VIV_1391037,1,0,0,0,0,0
VIV_1391038,1,0,0,0,0,0
VIV_1391667,1,1,1,1,1,1
VIV_1394033,1,0,0,0,0,0
VIV_1394138,1,1,0,0,0,0
VIV_1394142,1,1,0,0,0,0
VIV_1398149,1,0,0,0,0,0
VIV_1398507,1,1,0,0,0,0
VIV_1398939,0,0,0,0,0,0
VIV_1399914,1,1,0,0,0,0
VIV_1399966,1,0,0,0,0,0
VIV_1399967,1,0,0,0,0,0
VIV_1400425,1,1,0,0,0,0
VIV_1401263,1,0,0,0,0,0
VIV_1401445,1,1,1,1,1,1
VIV_1404345,0,0,0,0,0,0
VIV_1405807,0,0,0,0,0,0
VIV_1406134,0,0,0,0,0,0
VIV_1406343,0,0,0,0,0,0
VIV_1406344,0,0,0,0,0,0
VIV_1408129,1,1,0,0,0,0
VIV_1408137,1,1,0,0,0,0
VIV_1408144,1,1,0,0,0,0
VIV_1408257,1,0,0,0,0,0
VIV_1408258,1,0,0,0,0,0
VIV_1410467,0,0,0,0,0,0
VIV_1414671,0,0,0,0,0,0
VIV_1415627,1,1,1,1,1,1
VIV_1415628,1,1,1,1,1,1
VIV_1416021,1,1,0,0,0,0
VIV_1416349,1,1,0,0,0,0
VIV_1416741,1,1,0,0,0,0
VIV_1416745,1,1,0,0,0,0
VIV_1417756,1,1,0,0,0,0
VIV_1419711,0,0,0,0,0,0
VIV_1420545,1,1,1,1,1,1
VIV_1420600,1,0,0,0,0,0
VIV_142102,0,0,0,0,0,0
VIV_1424280,0,0,0,0,0,0
VIV_1424613,1,1,1,1,1,1
VIV_142661,1,0,0,0,0,0
VIV_1427156,1,1,0,0,0,0
VIV_1427157,1,1,0,0,0,0
VIV_1427158,1,1,0,0,0,0
VIV_1427476,0,0,0,0,0,0
VIV_1428456,1,1,0,0,0,0
VIV_1428581,1,1,0,0,0,0
VIV_1431464,1,1,0,0,0,0
VIV_1432856,0,0,0,0,0,0
VIV_1432857,0,0,0,0,0,0
VIV_1434070,1,1,0,0,0,0
VIV_1434720,1,1,0,0,0,0
VIV_1434782,1,1,1,1,1,1
VIV_1434987,1,1,1,1,1,1
VIV_1435485,1,1,0,0,0,0
VIV_1437126,1,1,0,0,0,0
VIV_143921,1,0,0,0,0,0
VIV_1439369,1,0,0,0,0,0
VIV_1440170,1,1,1,1,1,1
VIV_1443909,1,0,0,0,0,0
VIV_1445557,0,0,0,0,0,0
VIV_144752,1,1,0,0,0,0
VIV_1450749,1,1,1,1,1,1
